2
0.1 15
151 4
1 2 I(L1) I(V1) 
1 1e-019 -1 -1e-019 
1 0.0990990990990991 -0.990990990990991 -0.09009009009009009 
1 0.1964937910883857 -0.9739469198928659 -0.1704407109812515 
1 0.2914755515193792 -0.9498176043099344 -0.2412931558293135 
1 0.3834278082002797 -0.9195225668090057 -0.3029503750092855 
1 0.471822383514602 -0.8839457531432233 -0.3557681366578253 
1 0.5562154929553014 -0.8439310944069938 -0.4001465873622951 
1 0.6362433799022801 -0.800278869469787 -0.4365222493720671 
1 0.7116176620175556 -0.7537428211527558 -0.4653604831703115 
1 0.782120459760889 -0.7050279774333337 -0.4871484371942226 
1 0.847599372504785 -0.654789127438959 -0.502388499943744 
1 0.9079623626118554 -0.603629901070703 -0.5115922636825584 
1 0.9631726026847848 -0.5521024007292952 -0.5152750034140798 
1 1.013243336059633 -0.5007073337484833 -0.5139506698081164 
1 1.058232795531932 -0.4498945947229912 -0.5081273902549232 
1 1.098239220322004 -0.400064247900719 -0.4983034682227228 
1 1.133396006436285 -0.3515678611428096 -0.4849638675790942 
1 1.163867020895671 -0.3047101445938568 -0.4685771654895272 
1 1.189842105805967 -0.2597508491029635 -0.4495929549089304 
1 1.211532793961135 -0.216906881551682 -0.4284396755128169 
1 1.229168253614789 -0.1763545965365481 -0.4055228501513378 
1 1.242991476243174 -0.1382322262838463 -0.3812237025270203 
1 1.253255717563852 -0.1026424132067826 -0.355898130770635 
1 1.2602211987756 -0.06965481211747526 -0.3298760108930749 
1 1.264152071950367 -0.0393087317476713 -0.3034608036980382 
1 1.265313650738893 -0.0116157878852563 -0.2769294386241489 
1 1.263969905046223 0.01343745692669646 -0.2505324481195266 
1 1.260381216088446 0.03588688957776462 -0.2244943265106819 
1 1.254802386251815 0.05578829836631471 -0.1990140878855004 
1 1.247480896432761 0.07321489819053698 -0.1742659982422243 
1 1.238655402033318 0.08825494399442629 -0.1504004580388924 
1 1.228554457510998 0.1010094452232054 -0.1275450122877926 
1 1.217395458324124 0.1115899918687433 -0.1058054664553802 
1 1.205383788260956 0.1201167006316718 -0.08526708762928452 
1 1.192712159480977 0.1267162877997906 -0.06599587168118677 
1 1.179560132116303 0.1315202736467462 -0.0480398584695565 
1 1.166093799966899 0.1346633214940327 -0.03143047847286657 
1 1.152465628661429 0.136281713054705 -0.0161839156067237 
1 1.138814432632523 0.1365119602890521 -0.002302472343471351 
1 1.125265477357541 0.1354895527498236 0.01022407539228275 
1 1.111930693530011 0.1333478382752953 0.02141714474528388 
1 1.098908990140075 0.1302170338993661 0.03130804375929135 
1 1.086286653841573 0.1262233629850214 0.03993670914344862 
1 1.074137822456962 0.1214883138461066 0.0473504913891448 
1 1.06252502100725 0.1161280144971197 0.05360299348986979 
1 1.051499749241678 0.1102527176557157 0.05875296841403758 
1 1.041103110270517 0.1039663897116069 0.06286327944108933 
1 1.031366470564332 0.09736639706185451 0.06599992649752252 
1 1.022312142265387 0.09054328298944841 0.06823114072406124 
1 1.013954079453136 0.08358062812251074 0.06962654866937482 
1 1.006298580708287 0.07655498744849036 0.07025640674020349 
1 0.9993449910218618 0.06953589686425142 0.07019090584238966 
1 0.9930863967906511 0.06258594231210592 0.06949954552145476 
1 0.987510308322978 0.05576088467673069 0.06825057635375258 
1 0.9825993249437862 0.04910983379191745 0.06651050884813119 
1 0.9783317784315071 0.04267546512278906 0.06434368669128189 
1 0.9746823511372782 0.036494272942288 0.06181192180500971 
1 0.9716226657268262 0.03059685410451866 0.05897418837769233 
1 0.9691218440441954 0.02500821682630739 0.05588637278211187 
1 0.9671470331225084 0.01974810921687101 0.05260107609436269 
1 0.9656638968586235 0.01483136263884859 0.04916746578022504 
1 0.9646370723248657 0.01026824533757732 0.04563117301271161 
1 0.9640305901113464 0.00606482213519266 0.04203423202384624 
1 0.9638082584765421 0.002223316348042473 0.03841505787150044 
